gene,score,logfoldchange,pval,pval_adj,cluster
Sparcl1,26.469303,32.896408,2.1878082947170054e-154,2.2665693933268175e-151,16
Mfge8,26.453144,27.586664,3.3572317283316803e-154,3.273498419342702e-151,16
Ndrg2,26.244907,19.258724,8.171318858890331e-152,7.52487674472034e-149,16
Cd9,26.149471,19.832047,9.99247109438744e-151,8.717642150556116e-148,16
Cpe,26.062965,44.872597,9.591932472162365e-150,7.949793632928168e-147,16
Aldoc,25.96576,21.291775,1.2071051551502366e-148,9.528083357985868e-146,16
Htra1,25.961279,11.782827,1.3562511490159435e-148,1.0218735930040127e-145,16
Phgdh,25.932123,14.85018,2.893045046401811e-148,2.0850049864850614e-145,16
Mt1,25.84234,22.84082,2.9666468669619763e-147,2.0489641027817383e-144,16
Plpp3,25.796469,14.699646,9.71432776846623e-147,6.440987883603849e-144,16
