gene,score,logfoldchange,pval,pval_adj,cluster
Mllt11,17.448536,11.281423,3.531640907367973e-68,4.87837330671096e-65,14
Sncb,17.434622,2.6446106,4.50532087760275e-68,5.744630682087938e-65,14
Sybu,17.091187,2.970764,1.7262546445717253e-65,1.9076264658947279e-62,14
Snrpn,16.449,4.398348,8.526450258354454e-61,8.313790557793144e-58,14
Meg3,16.140366,14.779188,1.3275161715779861e-58,1.047852764765557e-55,14
Nrgn,15.9824915,0.5633864,1.692434583117748e-57,1.275172529534536e-54,14
Celf4,15.804052,3.0935535,2.9174329987155986e-56,2.102581277683033e-53,14
Gap43,15.570366,11.246039,1.1574368399578399e-54,7.994030441308814e-52,14
Fxyd6,15.553113,3.2534325,1.5155757339130966e-54,1.0048873346137395e-51,14
Cd24a,15.381152,8.306998,2.1901450386127076e-53,1.3445868207423794e-50,14
Pcsk2,15.154325,1.7994514,7.09407838342284e-52,4.054877354607483e-49,14
Arl6ip5,15.060577,2.785648,2.942072602611195e-51,1.625593182029439e-48,14
Gucy1b3,15.047566,1.8152156,3.581669353475877e-51,1.9151532646198753e-48,14
Gucy1a3,15.004837,1.9044852,6.825791109780724e-51,3.535759794866415e-48,14
Igfbp7,18.330425,43.896156,4.731907023372643e-75,7.843609081942493e-71,21
Sparc,18.154327,40.563866,1.1867073598380204e-73,9.835430598337512e-70,21
Gng11,17.363026,19.22682,1.5721680643214618e-67,8.686752611397517e-64,21
Serpinh1,17.244581,13.168569,1.2290090468720412e-66,5.093013490237738e-63,21
Sept4,16.962257,13.20331,1.5622324267485116e-64,5.1791129411566656e-61,21
Col4a2,16.728811,16.859125,8.083621232220324e-63,1.9142015077897725e-59,21
Sepp1,16.673332,21.95132,2.0484965003893742e-62,4.244484748806783e-59,21
Eva1b,16.550215,13.457559,1.5953404525459327e-61,2.644436334140138e-58,21
Col4a1,16.458311,21.026663,7.311133221689058e-61,1.1017213116610711e-57,21
Myl12a,16.233189,10.697749,2.9379413756453483e-59,4.058276353558108e-56,21
Ppic,16.09519,10.265578,2.7572673839283296e-58,3.515728011999692e-55,21
Tpm4,15.825167,8.0035,2.086450763555982e-56,2.4703577040502827e-53,21
Bgn,15.776664,13.24707,4.503719871320089e-56,4.97691070580012e-53,21
Sparcl1,15.416239,13.913429,1.2730635203367607e-53,1.0048714720524831e-50,21
Nid1,15.3407755,14.086152,4.0829051756662652e-53,3.076283463265637e-50,21
Eng,15.174234,14.670339,5.238529147323751e-52,3.47335436584154e-49,21
Ets1,15.107979,8.272677,1.4347357592614413e-51,8.493635694827731e-49,21
Tagln2,15.096108,8.830472,1.717760431705829e-51,9.81848169515718e-49,21
BC028528,14.999452,11.675858,7.402883420186807e-51,3.834693611656766e-48,21
Esam,14.764818,12.706171,2.469882387680885e-49,1.169736298805667e-46,21
Plat,14.726173,7.3171535,4.378027850601199e-49,1.9613564770693375e-46,21
Pltp,14.661289,10.742782,1.1408535445537914e-48,4.848920090903499e-46,21
Ifitm3,14.558621,11.289476,5.1485504228617384e-48,2.1335592952339044e-45,21
Lamc1,14.339427,7.3810105,1.2407483962961797e-46,4.674237594773972e-44,21
Slc9a3r2,14.153216,6.2652926,1.7840826210847423e-45,6.292117771723551e-43,21
Dlx6os1,28.363825,6.9335146,5.6526820892925135e-177,9.36988583121127e-173,15
Btg1,26.633501,7.3885922,2.779320118355087e-156,2.3035005140926963e-152,15
Meis2,26.131826,9.607267,1.5859216100177675e-150,8.762745535884839e-147,15
Dlx1,25.254852,5.1113715,1.00177550418411e-140,4.1513576893389514e-137,15
Gad2,24.463694,5.24722,3.598137047194589e-132,1.1928543938859501e-128,15
Nrxn3,24.301138,4.371591,1.9068038554282014e-130,4.5153115296539804e-127,15
Dlx2,23.75146,4.5767026,1.0612573469479712e-124,1.759140178300957e-121,15
Sp9,23.631567,5.5765076,1.8263544757389528e-123,2.7521501627135347e-120,15
Sp8,22.402853,6.6522923,3.6916856161805255e-111,3.399632265211577e-108,15
Rnd3,21.45865,4.204805,3.7914846395595975e-102,2.16716032363241e-99,15
Igfbpl1,19.953003,4.1104836,1.411512481685556e-88,4.332820536374033e-86,15
Arx,19.750725,3.4712582,7.907457770118217e-87,2.2215935592793146e-84,15
Dlx5,19.545883,3.77108,4.471840409604682e-85,1.1582066660876125e-82,15
Tshz1,19.54445,5.3904595,4.599208066652793e-85,1.1728688140436415e-82,15
Tiam2,19.461308,4.727779,2.3374378047810605e-84,5.782890903291173e-82,15
Gm13889,19.341627,3.119072,2.3979044873813335e-83,5.598262645469434e-81,15
Pbx3,16.9554,6.266077,1.755599977561487e-64,1.780803048773235e-62,15
Sdk2,16.90774,4.5416756,3.945595482370492e-64,3.939891006974293e-62,15
Zfp704,16.091627,2.988824,2.9206399113035253e-58,2.042722665391023e-56,15
Islr2,15.980873,2.165425,1.7369695367646745e-57,1.17040679030127e-55,15
Ccnd2,15.949396,7.3916993,2.8766541015885586e-57,1.8997377843797588e-55,15
Nfib,15.818822,5.617596,2.307711178902657e-56,1.4712546346727095e-54,15
Synpr,15.226142,3.3532526,2.3717947356781466e-52,1.2764568032013296e-50,15
Pax6,14.936613,3.490186,1.9040923000684346e-50,9.255787086784273e-49,15
Cdca7,14.3765745,4.362175,7.260023848191592e-47,2.9935859529259657e-45,15
Bcl11b,21.486801,12.2345085,2.0688355470929452e-102,3.429301802861266e-98,19
Ldb2,20.89316,8.36446,6.179280039250918e-97,5.121387296531161e-93,19
Tcerg1l,20.815954,10.046311,3.1030591279746324e-96,1.7145436035102503e-92,19
Mllt11,20.790146,52.40726,5.314827063314045e-96,2.20246433503734e-92,19
Fam19a1,20.504288,11.403457,1.9713425530488042e-93,6.535394831867396e-90,19
Fezf2,20.326885,8.543396,7.437652639928438e-92,2.0547755026575635e-88,19
Rgma,19.794102,5.834913,3.3466895478429704e-87,7.924960849292153e-84,19
Snrpn,19.734945,19.804722,1.0806462482002979e-86,2.239099026271017e-83,19
Sepw1,19.542242,50.392918,4.80247233408624e-85,8.845086823312612e-82,19
Dynlrb1,19.512815,16.736801,8.544305413024421e-85,1.416304065262928e-81,19
Slc6a15,19.41107,6.0181246,6.22187748501274e-84,9.37580374468829e-81,19
Tuba1b,19.384817,16.984962,1.0367211552405944e-83,1.4320574891056746e-80,19
Cox6a1,19.172318,18.568811,6.303632836904349e-82,8.037616761886653e-79,19
Rprm,19.101377,15.721453,2.459112384190383e-81,2.911589062881413e-78,19
Rpl41,19.02509,76.64059,1.057077390937469e-80,1.1681409888119657e-77,19
Fkbp1a,18.90653,16.38123,1.0077209880623017e-79,1.0439989436325446e-76,19
Rpl23a,18.894974,28.53177,1.2545026577517682e-79,1.2232138855819595e-76,19
Tmsb10,18.846788,155.39262,3.12230177452142e-79,2.875293011914837e-76,19
Marcksl1,18.840155,42.14214,3.5392847537043763e-79,3.08774653038967e-76,19
Meg3,18.641623,68.4049,1.4769272093322552e-77,1.2240772710945731e-74,19
Calm2,18.627136,82.35949,1.936121373713455e-77,1.5282451376511536e-74,19
Rpl31,18.595667,21.422716,3.483484768200226e-77,2.6246474326221337e-74,19
Nop10,18.43724,10.698795,6.60260909580496e-76,4.758471668350566e-73,19
Arhgdig,18.37675,10.989931,2.0168996643062003e-75,1.3930053681474824e-72,19
Hn1,18.308846,32.520004,7.034615599613834e-75,4.664231527167956e-72,19
Hba-a1,7.736966,inf,1.0181697761264105e-14,3.4165077400998645e-11,26
Hba-a2,7.7363396,985.7455,1.023199266495934e-14,3.4165077400998645e-11,26
Hbb-bt,7.735542,698.12463,1.029635808023028e-14,3.4165077400998645e-11,26
Hbb-bs,7.735542,inf,1.029635808023028e-14,3.4165077400998645e-11,26
Alas2,7.735428,27.474718,1.0305585605996212e-14,3.4165077400998645e-11,26
Ube2l6,7.3195972,9.800727,2.487159820754831e-13,5.15339514860401e-10,26
Fech,6.0815644,7.165599,1.1901563592126275e-09,7.67627696899164e-08,26
Bpgm,5.7612014,6.885031,8.351723638205628e-09,3.5957966500492597e-07,26
Mkrn1,5.438047,7.2744684,5.386780598902239e-08,1.6752584466679832e-06,26
Snca,4.5563583,5.8818808,5.204807153066915e-06,9.129617287749967e-05,26
Gpx1,4.378329,5.662295,1.1959295879110267e-05,0.0001857893987742566,26
Fam220a,4.15822,2.6991134,3.207372526126566e-05,0.0004408408540055884,26
Adipor1,3.1834,2.2843008,0.0014555647324101047,0.01186206539057517,26
Fam46c,3.0765362,7.9134083,0.002094208224592929,0.016048819015650667,26
Isg20,2.6967163,8.9768915,0.007002690749259978,0.044748111742379866,26
Bola3,2.6064336,2.099059,0.009149058003362444,0.055591930155328394,26
Slc25a37,2.5022194,4.2257667,0.01234173835859478,0.07061672593443807,26
Blvrb,2.3783193,3.0029662,0.017391758082272918,0.09302542173983734,26
Pnpo,2.170575,2.9431875,0.0299633147981284,0.14374395448685812,26
Bnip3l,2.1370716,1.5102917,0.03259217579357167,0.15369783953179061,26
March2,2.0336838,2.0373638,0.04198350031750928,0.18778233072825057,26
Rec114,1.9104103,6.589098,0.056080411875337605,0.23458230245088543,26
Ube2c,1.7190473,1.5034342,0.08560576008213804,0.3220610710670722,26
Gypa,1.5434389,7.8914742,0.12272430883252092,0.4205660829455999,26
Cdr2,1.2893709,3.1280775,0.19726915886115792,0.5900277115269855,26
Cxcl12,9.475204,36.33616,2.6623960965759486e-21,1.1922436608342729e-17,24
Nhlh2,9.473296,19.045803,2.711499669221888e-21,1.1922436608342729e-17,24
Ndnf,9.472109,34.2126,2.7424904483936104e-21,1.1922436608342729e-17,24
Reln,9.467106,70.906685,2.8770358610865658e-21,1.1922436608342729e-17,24
Ramp1,9.402485,19.881733,5.328919139524497e-21,1.7666432731351614e-17,24
Pcp4,9.376609,41.71523,6.812856312840195e-21,1.882165104027318e-17,24
Cd200,9.278875,23.225088,1.7127745325807416e-20,4.055850093151196e-17,24
Rgs4,9.243482,10.669459,2.386050278431271e-20,4.943896176909593e-17,24
1500009L16Rik,9.225866,10.707508,2.8127907523244566e-20,5.1805355011700214e-17,24
Prnp,9.140442,11.0860615,6.219782605822241e-20,1.0309911647410948e-16,24
Dkk3,9.11026,8.369352,8.218449229785724e-20,1.215696794931176e-16,24
Syn2,9.096159,9.77935,9.358316673407605e-20,1.215696794931176e-16,24
St3gal5,9.094134,7.40899,9.534301601173556e-20,1.215696794931176e-16,24
Tmem163,9.062161,11.146046,1.2789096634392943e-19,1.5142290415121244e-16,24
Aldoa,9.037798,28.669167,1.5986013230042634e-19,1.7665610353412447e-16,24
Emx2,8.934944,8.534896,4.073843948014178e-19,4.220502330142688e-16,24
Wnt7b,8.828228,8.565911,1.063473823771732e-18,1.03694953546119e-15,24
Car10,8.792531,10.277783,1.462271892110815e-18,1.2603169478590123e-15,24
Calb2,8.789855,29.664291,1.4975253859284983e-18,1.2603169478590123e-15,24
Pcsk1n,8.788134,32.51147,1.5206526880538276e-18,1.2603169478590123e-15,24
Gpi1,8.773427,12.796756,1.7330962349030494e-18,1.3679906280834735e-15,24
Eef2,8.751041,27.45101,2.113934774054345e-18,1.5927537643056738e-15,24
Ache,8.732798,10.738698,2.484500254018393e-18,1.7545248471190808e-15,24
Fkbp9,8.730284,9.874218,2.5403352033577423e-18,1.7545248471190808e-15,24
Snhg11,8.688072,48.752167,3.686409821102325e-18,2.4442371677836856e-15,24
Pcp4,14.026872,34.53712,1.0675749288340528e-44,1.769612202035326e-40,23
Rprml,13.970607,11.030146,2.3561085945112226e-44,1.9527428031309013e-40,23
Fxyd7,13.073414,10.633305,4.6720578694833286e-39,2.581467708151855e-35,23
Snca,12.88805,20.902287,5.255584390214409e-38,2.177914171304851e-34,23
Sncb,12.662074,14.91894,9.593124179477726e-37,3.180312527980456e-33,23
Mllt11,12.305183,37.160927,8.494352622116676e-35,2.011462700917229e-31,23
Snrpn,12.24782,16.2896,1.725737495496619e-34,3.5757280906689943e-31,23
Tle4,12.171142,5.9989586,4.428468266155637e-34,8.156254442199539e-31,23
Calm2,11.873841,82.52436,1.6186032995407344e-32,2.6829968293187214e-29,23
Fxyd6,11.760991,12.311141,6.200231858891755e-32,9.343185753908158e-29,23
Ndn,11.571034,14.990203,5.7781603781976955e-31,7.981565535750417e-28,23
Dynlrb1,11.546929,14.371725,7.65048764846026e-31,9.754960250836713e-28,23
Aldoa,11.534603,10.133207,8.829391806888097e-31,1.0453999899355506e-27,23
Celf4,11.448557,9.764695,2.3909209147591452e-30,2.642127005536506e-27,23
Olfm1,11.4187765,8.0311985,3.369427506649231e-30,3.4907268968886034e-27,23
Map1lc3a,11.268624,16.57688,1.8747617258907995e-29,1.8280029628450526e-26,23
Kcnab1,11.150998,6.203229,7.080752808711861e-29,6.520586586511545e-26,23
Rpl41,11.107305,49.450176,1.1559677790859707e-28,1.008490626638371e-25,23
Ngfrap1,11.0356455,12.87322,2.5719847180075307e-28,2.1316609342846415e-25,23
Hsbp1,11.009603,10.03173,3.435147538158208e-28,2.7114764567862123e-25,23
Zwint,11.004934,8.642751,3.6177920617461716e-28,2.7258418734320247e-25,23
Hs3st4,10.943299,5.246156,7.154814081889608e-28,5.156443400930528e-25,23
Cox6a1,10.9368305,12.888009,7.683958967514061e-28,5.307054326896378e-25,23
Tuba1b,10.928058,14.178891,8.464051006026645e-28,5.612004379035907e-25,23
Snap25,10.90287,8.263316,1.1167844667700662e-27,7.119930508146392e-25,23
Sparc,26.36209,21.47206,3.7302838249680516e-153,5.011260515548298e-149,17
Sfrp1,26.343788,12.159526,6.046405062196306e-153,5.011260515548298e-149,17
Dbi,26.235075,132.22041,1.0580452037174276e-151,5.84605243227336e-148,17
Mt3,26.118546,44.689045,2.2448765837476023e-150,9.302768563050064e-147,17
Sox9,25.982092,11.504941,7.89293621024893e-149,2.616666212421725e-145,17
Plpp3,25.9403,19.129444,2.3395129293355595e-148,6.46329438611104e-145,17
Cst3,25.772865,149.96693,1.7869703165238645e-146,4.231545709528511e-143,17
Apoe,25.596888,75.42469,1.6522582748263836e-144,3.4234791454402664e-141,17
Ddah1,25.511934,12.6708975,1.4532607558540336e-143,2.6765833654484954e-140,17
Mt1,25.428701,21.507526,1.2146144732403314e-142,2.0133449508431735e-139,17
Slc1a3,25.424084,17.724516,1.3661950296340834e-142,2.0587317101104153e-139,17
Phgdh,25.403522,13.191576,2.305675421552983e-142,3.184906315638521e-139,17
Hes5,25.397175,49.338764,2.7097611624485166e-142,3.455153925288201e-139,17
Vim,25.339188,17.870424,1.1824505519143547e-141,1.4000214534665958e-138,17
Aldoc,25.217625,22.04486,2.5670007641078155e-140,2.8367069777234097e-137,17
Ndrg2,25.148817,14.37941,1.4559313884037131e-139,1.5083449183862467e-136,17
Atp1a2,25.093351,10.938681,5.878008974500676e-139,5.731404515371954e-136,17
Cd9,25.072227,16.005959,9.993254894848521e-139,9.202677396500506e-136,17
Asrgl1,25.049854,9.41909,1.7522376129727496e-138,1.5286889827703314e-135,17
Fabp7,25.024837,185.57555,3.281255574938642e-138,2.7195046205091466e-135,17
Qk,25.006163,14.732903,5.2392050971590195e-138,4.135479223357519e-135,17
Cpe,24.887878,24.971384,1.0065769705337105e-136,7.584099937984902e-134,17
Prdx6,24.78407,9.319951,1.3315519176329223e-135,9.596436776818835e-133,17
Id4,24.746733,9.004037,3.3618809499206997e-135,2.3219391094118967e-132,17
Gng5,24.634169,10.324763,5.439688454155618e-134,3.606731032643341e-131,17
Maf,41.3118,12.237898,0.0,0.0,4
Nxph1,40.615738,9.267822,0.0,0.0,4
Arx,40.240543,9.083729,0.0,0.0,4
Mafb,39.705948,12.816356,0.0,0.0,4
Nrxn3,38.2896,7.7206697,0.0,0.0,4
Lhx6,38.23852,7.383579,0.0,0.0,4
Gria1,36.140865,6.3792057,5.17754522949782e-286,1.2260427103450838e-282,4
Gad2,32.274788,4.8877006,1.57995320097136e-228,2.909922695477918e-225,4
Bcl11b,32.16901,4.876972,4.789678018440862e-227,7.939370283367573e-224,4
Rpp25,30.582575,5.5437245,2.0870312906182674e-205,3.1449664248444003e-202,4
Erbb4,30.434925,5.663409,1.896460102302342e-203,2.619643554646969e-200,4
Chl1,30.130657,8.212244,1.9227277679427219e-199,2.451625806262966e-196,4
Slc6a1,29.695192,4.6658688,8.85873911676059e-194,1.0488747114244538e-190,4
Dlgap1,29.63826,4.336175,4.805351428983993e-193,5.310233685789244e-190,4
Gad1,29.291908,4.965367,1.3149679388231272e-188,1.2821710914077741e-185,4
Nap1l5,28.55204,5.1700487,2.6498272553207967e-179,2.311765083378817e-176,4
Camk2n1,28.317276,7.452926,2.1178694247033457e-176,1.671704932565841e-173,4
Dlx2,28.165012,4.011771,1.5693994441923862e-174,1.1824711448605907e-171,4
Sox6,28.16025,4.543075,1.794968926915124e-174,1.2936263014150041e-171,4
Tshz3,27.897188,5.265571,2.886003074728643e-171,1.9135354786680792e-168,4
Slc32a1,27.671434,5.101554,1.5413609833982264e-168,9.826769100311155e-166,4
Gm13889,27.493761,3.9991634,2.0846520325341363e-166,1.2341140032602086e-163,4
Gng2,27.184801,7.3942933,9.824501822620877e-163,5.615549731440126e-160,4
Arl4c,27.159925,4.1814103,1.9330593346616876e-162,1.0680797177117377e-159,4
Arnt2,26.431122,3.681153,6.014926897132592e-154,3.216239620866769e-151,4
Tyrobp,13.663412,37.23651,1.679272509750552e-42,6.958905280406287e-39,22
C1qc,12.471885,36.693245,1.0628232589234196e-35,6.465412176859724e-33,22
Arpc1b,12.281617,13.113535,1.137020698044191e-34,5.384930025937288e-32,22
C1qb,12.276506,43.360947,1.211163729422948e-34,5.576736105254107e-32,22
Aif1,12.265318,15.156656,1.3906590393512225e-34,6.066201114812069e-32,22
Rgs10,11.63579,9.8008585,2.710686968054119e-31,7.764262133411797e-29,22
Fcer1g,11.484756,24.489641,1.573779333039859e-30,3.960615920966487e-28,22
C1qa,11.484581,37.13226,1.5769826905392624e-30,3.960615920966487e-28,22
Trem2,10.891812,22.037363,1.261057219953169e-27,2.375373236129969e-25,22
Vamp8,10.749214,9.123474,5.9768565489405654e-27,1.0213646820127714e-24,22
Laptm5,10.479557,16.519072,1.0724502334503693e-25,1.4691681875763075e-23,22
Hexb,10.1144,25.862066,4.7693108798242506e-24,5.989098268482332e-22,22
Ly86,10.100443,20.380632,5.4993089088158175e-24,6.802727199442612e-22,22
Ptpn18,10.019574,10.494688,1.250409730509606e-23,1.5019414270237122e-21,22
Clic1,10.0029955,8.056155,1.4785525134418036e-23,1.7506061759150953e-21,22
Cyba,9.729106,13.925938,2.265755338701468e-22,2.2761915451100326e-20,22
Pycard,9.695921,9.007001,3.1379514278715915e-22,3.09611207549997e-20,22
Arhgdib,9.661198,7.098697,4.406828284327542e-22,4.296916802412549e-20,22
Spi1,9.507806,15.455447,1.9472565716839043e-21,1.7832997200128397e-19,22
Apoe,9.364154,85.40598,7.666202596910121e-21,6.618488241999072e-19,22
Ctss,9.306365,24.8091,1.3228216405649811e-20,1.1130503306601587e-18,22
Ctsd,9.153267,52.278942,5.523739889607186e-20,4.380933608140129e-18,22
Fcrls,9.110298,23.230106,8.215567117344786e-20,6.423643421561659e-18,22
B2m,9.025988,12.237068,1.7808192396341476e-19,1.3478931377249147e-17,22
Crybb1,8.901828,16.077429,5.493453477124024e-19,3.9591080363829487e-17,22
Gm42418,10.629321,11.140135,2.17691182577884e-26,9.31693530186162e-26,7
Cdhr3,0.13754635,1.7179096,0.8905989595665801,0.9918614293039363,7
Sst,0.13450165,-3.1794999,0.8930059114223196,0.9918614293039363,7
Ctgf,0.12833586,-0.3557538,0.8978831870377998,0.9918614293039363,7
Traf3ip2,0.11540859,0.5156313,0.9081212695571339,0.9918614293039363,7
Abhd12b,0.09504267,1.8427314,0.9242809354613335,0.9918614293039363,7
Gm14597,0.09071491,0.88705474,0.9277191227682461,0.9918614293039363,7
Gm43591,0.08500736,1.4946412,0.9322555390380104,0.9918614293039363,7
Vwa5b1,0.080857806,1.1737409,0.9355550377118806,0.9918614293039363,7
2310031A07Rik,0.074972056,1.2143663,0.940236948395598,0.9918614293039363,7
Bmp5,0.0749415,0.90928906,0.9402612545001444,0.9918614293039363,7
Ins2,0.055884093,2.716544,0.9554341442878087,0.9918614293039363,7
Soat2,0.045848783,1.7163798,0.96343077642707,0.9918614293039363,7
Gm42654,0.045848783,1.7163798,0.96343077642707,0.9918614293039363,7
Msh4,0.045848783,1.7163798,0.96343077642707,0.9918614293039363,7
Dupd1,0.044855945,0.5463848,0.9642221328181371,0.9918614293039363,7
Cryga,0.04250368,1.4939321,0.9660971779768219,0.9918614293039363,7
Lad1,0.04250368,1.4939321,0.9660971779768219,0.9918614293039363,7
Smr3a,0.04250368,1.4939321,0.9660971779768219,0.9918614293039363,7
Misp,0.03915858,1.3012316,0.9687639586599545,0.9918614293039363,7
Gm33050,0.039148394,0.97919255,0.9687720772622445,0.9918614293039363,7
Gm33370,0.035813473,1.1312511,0.9714310886858186,0.9918614293039363,7
Gm16364,0.035813473,1.1312511,0.9714310886858186,0.9918614293039363,7
Gm26896,0.035813473,1.1312511,0.9714310886858186,0.9918614293039363,7
Myh4,0.035803292,0.49354336,0.9714392083060632,0.9918614293039363,7
Pou3f1,58.26829,22.386728,0.0,0.0,2
Mef2c,55.96643,96.739624,0.0,0.0,2
Atp2b2,53.75949,9.051722,0.0,0.0,2
Nrgn,53.29919,37.142662,0.0,0.0,2
Calm1,53.271152,83.30152,0.0,0.0,2
Ybx3,53.22307,8.190425,0.0,0.0,2
Osbpl1a,52.70607,10.993945,0.0,0.0,2
Pvrl3,52.20319,6.078404,0.0,0.0,2
Lpl,51.80338,7.930241,0.0,0.0,2
Basp1,51.663277,78.05712,0.0,0.0,2
Cplx2,51.0305,9.106244,0.0,0.0,2
Epha4,50.94064,6.8141994,0.0,0.0,2
mt-Co3,50.88047,278.75998,0.0,0.0,2
Nrxn1,50.830875,13.605075,0.0,0.0,2
mt-Nd4,50.740135,72.92511,0.0,0.0,2
mt-Nd2,50.623283,75.435585,0.0,0.0,2
Arpp21,50.61328,7.951389,0.0,0.0,2
Arl4a,50.525043,7.2905216,0.0,0.0,2
Cux1,50.513817,8.754162,0.0,0.0,2
mt-Atp6,50.395016,291.72906,0.0,0.0,2
mt-Co2,50.339188,175.09407,0.0,0.0,2
Foxp1,50.209183,12.513137,0.0,0.0,2
Crmp1,50.18933,23.919647,0.0,0.0,2
mt-Cytb,50.090263,130.98021,0.0,0.0,2
Stmn2,50.00168,83.681946,0.0,0.0,2
Grin2a,4.1398716,1.816387,3.475002838080022e-05,0.00035844210979473824,25
Gm26917,3.978747,2.253885,6.927943086409276e-05,0.0006684376286398147,25
Kcnq1ot1,3.887014,1.8727757,0.00010148498103806645,0.0009424173925417308,25
RP24-267C3.3,3.5817811,2.17166,0.0003412597370032756,0.0027975872406361506,25
Ptprd,3.2976592,1.9653444,0.0009749437772022528,0.0071602428227313,25
Arpp21,3.2668686,1.7234209,0.001087441723470244,0.007881693925772962,25
Gm42418,3.1313043,15.711364,0.0017403180030094295,0.012044889861329565,25
Pfkp,2.8716066,1.888814,0.004083909435754524,0.025574190709129953,25
Miat,2.6139445,2.2362046,0.008950357770166435,0.050020610383775733,25
Cacna1a,2.5975907,1.0821466,0.009388034514154438,0.052062917399338896,25
Cacna1g,2.3828604,1.2918142,0.017178711549235767,0.08694788477561285,25
Opcml,2.3718553,1.6712819,0.01769902660081309,0.0890703876134053,25
AY036118,2.2655196,1.0249577,0.023480816659246187,0.11291500346494482,25
Ptprn2,2.1272335,1.0385163,0.03340068697036694,0.1521015898958248,25
Lrp1b,2.0187204,0.65900356,0.04351627819324253,0.1894735559052241,25
Cacna1e,1.9134972,0.46604574,0.055684431071677094,0.23092947947063286,25
Ryr2,1.8802688,1.2107501,0.06007145380072598,0.2446546482065931,25
Sox5,1.8603412,-0.12300351,0.06283726561407747,0.2531204167239242,25
Dst,1.7360424,0.53738314,0.08255634578648387,0.3142259443758339,25
3100002H09Rik,1.6090928,2.8661644,0.10759605286807292,0.38620878569536093,25
Dock3,1.5581142,0.5633037,0.11920618715694051,0.4173979210632543,25
Gm26870,1.5558184,4.992587,0.1197512645385277,0.41877573016680064,25
Gm16586,1.5238444,1.2475942,0.12754758246724068,0.4394572286379093,25
Kcnt2,1.486143,1.4522395,0.13724131447199403,0.46256852962337797,25
Atp8b2,1.4754691,2.1359067,0.14008645648416027,0.4704789111077943,25
Ttc28,47.706306,7.981682,0.0,0.0,3
Pou3f3,46.22228,6.5187855,0.0,0.0,3
Pou3f2,46.162666,7.856168,0.0,0.0,3
Pantr1,45.910835,19.344906,0.0,0.0,3
Hs6st2,45.783695,5.5600634,0.0,0.0,3
Zbtb18,45.080437,14.25775,0.0,0.0,3
Eif1b,44.886143,45.93033,0.0,0.0,3
Jakmip1,43.615738,5.128622,0.0,0.0,3
Khdrbs3,43.54341,7.818501,0.0,0.0,3
Ptn,43.25433,57.82779,0.0,0.0,3
Gria2,42.476704,9.398631,0.0,0.0,3
Luzp2,42.270252,5.0742545,0.0,0.0,3
Usp22,41.18325,5.5193305,0.0,0.0,3
Bcl11a,40.451824,6.8544326,0.0,0.0,3
Odc1,40.37094,5.1105022,0.0,0.0,3
Nfix,40.33236,13.568025,0.0,0.0,3
Csrp2,40.19121,5.262961,0.0,0.0,3
Mpped1,40.171883,10.781014,0.0,0.0,3
Meis2,40.078888,7.3259063,0.0,0.0,3
Tmsb4x,39.777485,102.60776,0.0,0.0,3
Basp1,39.765537,48.222157,0.0,0.0,3
Ptma,39.75446,38.134144,0.0,0.0,3
Ppp1r14b,39.593258,12.712375,0.0,0.0,3
Tubb2b,39.162914,88.22641,0.0,0.0,3
Ddah2,39.15262,5.679613,0.0,0.0,3
Igfbpl1,19.957357,21.65007,1.2937534550839977e-88,2.1445257271472343e-84,20
Meis2,19.152311,14.562751,9.258481379428029e-82,7.67342936726995e-78,20
Zbtb20,18.733875,10.556503,2.6211951376149306e-78,1.448297686703503e-74,20
Sema3c,17.331688,6.055334,2.712473999377356e-67,1.1240492253419762e-63,20
Sox11,16.540592,17.900898,1.87172065020457e-61,6.205128299558191e-58,20
Unc5d,16.230284,5.005285,3.0802996865651296e-59,8.509841267417265e-56,20
Gm17750,15.528644,8.596649,2.220262793927687e-54,4.6003845090181675e-51,20
Nfib,15.478311,12.043318,4.8607182655960507e-54,8.952362885613349e-51,20
Pou3f2,15.370286,5.833997,2.5902516781783246e-53,4.293601181748391e-50,20
Pcp4,14.536982,5.0551934,7.063965467441966e-48,1.0644753780756185e-44,20
Pou3f3,14.506792,4.8988256,1.0973443695470867e-47,1.5157983558010425e-44,20
Frmd4b,13.871826,4.0461235,9.385661376745e-44,8.643151276718063e-41,20
